"Aiouea_saligna";"Albizia_pedicellaris";"Alchornea_triplinervia";"Amaioua_intermedia";"Andira_anthelmia";"Aparisthmium_cordatum";"Astrocaryum_aculeatissimum";"Bactris_setosa";"Blepharocalyx_salicifolius";"Byrsonima_ligustrifolia";"Cabralea_canjerana";"Calophyllum_brasiliense";"Chionanthus_filiformis";"Clethra_scabra";"Clusia_criuva";"Cordiera_myrciifolia";"Croton_sphaerogynus";"Daphnopsis_racemosa";"Didymopanax_angustissimus";"Endlicheria_paniculata";"Erythroxylum_umbu";"Eugenia_astringens";"Eugenia_stigmatosa";"Eugenia_subglomerata";"Eugenia_sulcata";"Euterpe_edulis";"Garcinia_gardneriana";"Geonoma_schottiana";"Guapira_opposita";"Guarea_macrophylla";"Guatteria_australis";"Heisteria_silvianii";"Hirtella_hebeclada";"Humiriastrum_dentatum";"Ilex_dumosa";"Ilex_pseudobuxus";"Ilex_theezans";"Jacaranda_puberula";"Manilkara_subsericea";"Matayba_guianensis";"Miconia_cubatanensis";"Miconia_fasciculata";"Miconia_flammea";"Miconia_sp";"Mollinedia_schottiana";"Monteverdia_gonoclada";"Myrcia_bicarinata";"Myrcia_brasiliensis";"Myrcia_glabra";"Myrcia_glomerata";"Myrcia_hebepetala";"Myrcia_ilheosensis";"Myrcia_macrocarpa";"Myrcia_multiflora";"Myrcia_racemosa";"Myrcia_splendens";"Myrcia_vellozoi";"Myrsine_coriacea";"Myrsine_umbellata";"Myrsine_venosa";"Nectandra_grandiflora";"Ocotea_dispersa";"Ocotea_pulchella";"Ocotea_pulchra";"Ocotea_venulosa";"Ouratea_parviflora";"Pera_glabrata";"Podocarpus_sellowii";"Posoqueria_latifolia";"Pouteria_beaurepairei";"Psidium_cattleyanum";"Siphoneugena_guilfoyleiana";"Tapirira_guianensis";"Ternstroemia_brasiliensis";"Xylopia_langsdorffiana"
"1";0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0
"3";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;6;0;1;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;17;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
"6";1;0;1;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"7";0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"8";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"9";0;0;0;0;0;0;0;0;1;1;0;16;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"10";0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
